序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,中華民國,謊島美人魚,2025/6/27,華映國際文創股份有限公司,英皇影業有限公司##英皇娛樂（香港）有限公司##電影夢工作室有限公司,19,107,12.63%,"24,809",202,"48,127"
2,美國,窒友梅根 2.0,2025/6/27,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,90,"18,049",-3.00%,"4,860,086","36,656","9,852,847"
3,法國,牧羊人，你來自哪裡?,2025/6/27,捷傑有限公司,PYRAMIDE INTERNATIONAL,10,521,-7.30%,"118,180","1,083","247,006"
4,日本,和山田談場Lv999的戀愛,2025/6/27,天馬行空數位有限公司,KADOKAWA CORPORATION,16,416,-4.15%,"104,554",850,"213,275"
5,中華民國,白衣蒼狗,2025/6/27,小公園映畫有限公司,小公園映畫有限公司##E##W Films##台北市電影委員會##高雄人,2,317,84.30%,"65,260",893,"223,461"
6,中華民國,女孩白日夢,2025/6/27,陳詠清電影製作有限公司,陳詠清電影製作有限公司,5,73,4.29%,"17,660",143,"34,067"
7,美國,終極警報,2025/6/27,車庫娛樂股份有限公司,Alarum LLC,59,"1,143",-43.56%,"268,750","3,168","750,389"
8,中華民國,民主，練習中,2025/6/27,海鵬影業有限公司,我們之間影像製作有限公司,17,466,-14.34%,"107,570","1,588","386,721"
9,日本,記憶花園,2025/6/27,采昌國際多媒體股份有限公司,Avex Pictures Inc.,14,317,10.07%,"49,280",605,"93,200"
10,日本,名偵探柯南 獨眼的殘像,2025/6/25,普威爾國際股份有限公司,株式会社トムス・エンタテインメント,97,"205,859",-21.36%,"56,906,148","467,630","128,583,249"
11,美國,F1電影,2025/6/24,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,95,"285,870",29.17%,"95,991,036","507,188","170,621,687"
12,南韓,異能5：死了一個超人以後,2025/6/20,車庫娛樂股份有限公司,Contents Panda,48,952,-82.42%,"229,691","13,660","3,400,646"
13,美國,超硬伴娘,2025/6/20,采昌國際多媒體股份有限公司,GEM Entertainment Kft.,33,306,-87.31%,"75,380","6,709","1,697,076"
14,美國,儀弒,2025/6/20,車庫娛樂股份有限公司,XYZ Films Releasing  LLC,14,153,-91.10%,"40,350","4,490","1,207,338"
